Title,Character1,Character2,Character3,Character4
W,Oh Yeon Joo,Kang Chul,,
What's Wrong with Secretary Kim,Kim Mi So,,,Lee Young Joon
You Who Came from the Stars,Do Min Joon,Cheon Song Yi,,
Goblin,,Ji Eun Tak,Kim Shin,
Weightlifting Fairy Kim Bok Joo,,,Kim Bok Joo,Jung Joon Hyung
Descendants of the Sun,Yoo Shi Jin,Dr. Kang Mo Yeon,,
Pinocchio,,,Choi Dal Po / Ki Ha Myung,Choi In Ha
The Heirs,Kim Tan,Cha Eun Sang,,
Strong Woman Do Bong Soon,,,Do Bong Soon,Ahn Min Hyuk
Crash Landing on You,,,Ri Jung Hyuk,"Yoon Se Ri / ""Sam Suk"""
Secret Garden,Kim Joo Won,Gil Ra Im,,
Healer,,,"Seo Jung Hoo / Park Bong Soo / ""Healer""",Chae Yeong Shin / Oh Ji An
Moon Lovers: Scarlet Heart Ryeo,Wang So [4th Prince],,,Go Ha Jin / Hae Soo
While You Were Sleeping,,,Nam Hong Ju,Jung Jae Chan
"Kill Me, Heal Me",,,Cha Do Hyun,Oh Ri Jin
The Legend of the Blue Sea,Heo Joon Jae / Kim Dam Ryung [Past],Shim Chung / Seo Hwa [Past],,
I Hear Your Voice,,,Park Soo Ha,Jang Hye Sung
City Hunter,,,"Lee Yoon Sung / ""Poochai""",Kim Na Na
I'm Not a Robot,,,Kim Min Kyu,Jo Ji Ah | Aji-3
She Was Pretty,Kim Hye Jin,,,Ji Sung Jun
"It's Okay, That's Love",,,Jang Jae Yeol,Ji Hae Soo
It's Okay to Not Be Okay,,, Moon Gang Tae,Ko Moon Young
The Master's Sun,,,"Tae Gong Shil ""Tae Yang""","Joo Joong Won / ""Joo Goon"""
Fight For My Way,,,Ko Dong Man,Choi Ae Ra
Playful Kiss,,Oh Ha Ni,Baek Seung Jo,
Cheese in the Trap,Hong Seol,Yoo Jung,,
Hotel del Luna,,,Jang Man Wol,Goo Chan Sung
Dream High,Go Hye Mi,Song Sam Dong,,
Suspicious Partner,,,Noh Ji Wook,Eun Bong Hee
Reply 1997,Sung Shi Won,Yoon Yoon Jae,,
Oh My Venus,,,Kim Young Ho / John Kim,Kang Joo Eun
Cinderella and the Four Knights,,,Eun Ha Won,Kang Ji Woon / Han Ji Woon
My ID Is Gangnam Beauty,Kang Mi Rae,,,Do Kyung Suk
Because This is My First Life,,,Yoon Ji Ho,Nam Se Hee
Personal Taste,Jeon Jin Ho,,,Park Gae In
Itaewon Class,,,Park Sae Ro Yi,Jo Yi  Seo
Her Private Life,,,Sung Duk Mi,Ryan Gold / Heo Yoon Jae
My Girlfriend Is a Gumiho,,,Cha Dae Wung,Gumiho | Gildal
Who Are You: School 2015,,,Lee Eun Bi | Go Eun Byul,Han Yi An
The K2,,,"Kim Je Ha / ""K2""",Go An Na
To The Beautiful You,,Kang Tae Joon,Goo Jae Hee,
Hwarang,,,Moo Myung / Kim Sun Woo,Ah Ro
Heartstrings,,,Lee Kyu Won,Lee Shin
A Korean Odyssey,Son Oh Gong,,,Jin Seon Mi / Sam Jang
Reply 1988,,,Sung Deok Sun / Sung Soo Yeon,Sung Sun Woo
Doctors,,,Professor Hong Ji Hong,Dr. Yoo Hye Jung
Love in the Moonlight,Lee Young / Crown Prince Hyo Myung,,,Hong Ra On / Hong Sam Nom
Doctor Stranger,Park Hoon,,,Song Jae Hee / Han Seung Hee
Romance is a Bonus Book,Kang Dan Yi,,,Cha Eun Ho
Flower Boy Next Door,Go Dok Mi,Enrique Geum,,
Uncontrollably Fond,,,Shin Joon Yeong,No Eul
Rooftop Prince,,,Lee Kak / Yong Tae Yong,Park Ha / Boo Yong
The Bride of Habaek,,,Yoon So Ah,Ha Baek
Love Alarm,,,Kim Jo Jo,Hwang Sun Oh
My Secret Romance,,Lee Yoo Mi,Cha Jin Wook,
Extraordinary You,,,Eun Dan Oh,"Ha Ru / ""Number 13"""
Sassy Go Go,,,Kang Yeon Doo,Kim Yeol
"Bring It On, Ghost",,,Park Bong Pal,Kim Hyun Ji
The King: Eternal Monarch,,,Yi Gon,Jeong Tae Eul | Luna
He Is Psychometric,Lee Ahn,Yoon Jae In,,
Fated to Love You,,Kim Mi Young,Lee Gun,
Moon Embracing the Sun,,,Heo Yeon Woo / Wol,Lee Hwon
Are You Human Too?,,,Nam Shin / Android Nam Shin III,Kang So Bong
Queen In Hyun's Man,,,Kim Bung Do,Choi Hee Jin
Touch Your Heart,,,Kwon Jung Rok,Oh Yoon Seo / Oh Jin Shim
Just Between Lovers,,,Lee Kang Doo,Ha Moon Soo
Emergency Couple,,,Oh Jin Hee,Oh Chang Min
Introverted Boss,,,Eun Hwan Ki,Chae Ro Woon
Shopping King Louie,,,Kang Ji Sung / Louis,Go Bok Shil
Faith,,General Choi Yeong,Dr. Yoo Eun Soo,
Memories of the Alhambra,Yoo Jin Woo,,,Jung Hee Joo / Emma
"Marriage, Not Dating",,,Gong Ki Tae,Joo Jang Mi
Thirty But Seventeen,,Gong Woo Jin,Woo Seo Ri,
True Beauty,Lim Joo Gyung / Joo Bal,Lee Su Ho,,
Shut Up: Flower Boy Band,,,Kwon Ji Hyuk,Im Soo Ah
Angel's Last Mission: Love,,,Kim Dan / Yoo Sung Woo,Lee Yeon Seo | Choi Sul Hee
The Beauty Inside,,,Han Se Gye,Seo Do Jae
The Innocent Man,,Kang Ma Roo,Seo Eun Ki,
Abyss,,Cha Min,Go Se Yeon | Lee Mi Do,
Sungkyunkwan Scandal,,,Lee Sun Joon,Kim Yoon Hee / Kim Yoon Shik
Blood,,,Park Ji Sang,Yoo Ri Ta
Flower Boy Ramen Shop,Cha Chi Soo,,,Yang Eun Bi
Another Miss Oh,,,Park Do Kyung,Oh Hae Young #1
Chicago Typewriter,,,Han Se Joo | Seo Hwi Young,Jun Seol | Ryu Soo Hyun
Flower of Evil,Baek Hee Sung / Do Hyun Soo,Cha Ji Won,,
Gu Family Book,,,Choi Kang Chi,Dam Yeo Wool
Mr. Sunshine,,,Choi Yoo Jin / Eugene Choi,Go Ae Shin
The Girl Who Sees Scents,,,Choi Moo Gak,Oh Cho Rim / Choi Eun Sul
The Great Seducer,,,Kwon Shi Hyun,Eun Tae Hee
School 2017,,,Ra Eun Ho,Hyun Tae Woon
King2Hearts,,,Prince Lee Jae Ha,Kim Hang Ah
EXO Next Door,Himself,,,Ji Yeon Hee
Lie to Me,,,Gong Ah Jung,Hyun Gi Joon
Start-Up,,,Seo Dal Mi,Nam Do San
Something in the Rain,Yoon Jin Ah,Seo Joon Hee,,
Love Rain,Seo In Ha [1970s] / Seo Jun [In Ha's son],Kim Yoon Hee [1970s] / Jung Ha Na [Yoon Hee's daughter],,
You're All Surrounded,Eun Dae Gu / Kim Ji Yong,,,Eo Soo Sun
Good Doctor,,,Park Shi On,Cha Yoon Su
Hi! School - Love On,Lee Seul Bi,,,Shin Woo Hyun
Black,,,Han Moo Gang / Grim Reaper Black,Kang Ha Ram
Reply 1994,Sung Na Jung,,,Sseu Re Ki / Trash
Jealousy Incarnate,,,Lee Hwa Shin,Pyo Na Ri
The Smile Has Left Your Eyes,,,Kim Moo Young / Kang Seon Ho,Yoo Jin Kang / Han Jeong Yoon
Protect the Boss,,,No Eun Seol,Cha Ji Heon
Tale of the Nine-Tailed,,,Lee Yeon | [Mountain Spirit of Baekdudaegan],Nam Ji Ah | Ah Eum 
Dream High 2,,,Shin Hae Sung,Jin Yoo Jin
Big,,,Seo Yoon Jae / Kang Kyung Joon,Gil Da Ran
When the Camellia Blooms,,,Oh Dong Baek,Hwang Yong Shik
My First First Love,Yoon Tae Oh,Han Song Yi,,
Something About 1 Percent,,,Lee Jae In,Kim Da Hyeon
Come and Hug Me,,,Chae Do Jin / Yoon Na Moo,Han Jae Yi / Gil Nak Won
"That Winter, The Wind Blows",Oh Soo,Oh Young,,
The Tale of Nokdu,,,"Jeon Nok Du / ""Lady Kim"" / Yeon Soo/Kim Nok Soon",Dong Dong Joo
A Gentleman's Dignity,Kim Do Jin,,,Seo Yi Soo
Empress Ki,,,Empress Ki Yang / Ki Seung Nyang,Emperor Toghon Temur / Ta Hwan
Melting Me Softly,,,Ma Dong Chan,Go Mi Ran
Secret,,,Jo Min Hyeok,Kang Yoo Jeong
Orange Marmalade,Baek Ma Ri,,,Jung Jae Min
Falling for Innocence,,Kim Soon Jung,"Kang Min Ho / James Kang / ""Captain Hook""",
100 Days My Prince,,,Crown Prince Lee Yool / Na Won Deuk,Hong Shim / Yoon Yi Seo
Clean With Passion For Now,,,Jang Sun Gyeol,Gil Oh Sol
The Liar and His Lover,,,Kang Han Kyeol,Yoon So Rim
The Producers,,,PD Ra Jun Mo,PD Tak Ye Jin
Tomorrow With You,,,Yoo So Joon,"Song Ma Rin / ""Bap Soon"""
The Secret Life of My Secretary,,,Do Min Ik,Jung Gal Hee | Veronica Park
Hit the Top,,,Yoo Hyun Jae / Kim Da Bong,Choi Woo Seung
"Hyde, Jekyll, Me",,Jang Ha Na,Goo Seo Jin / Robin,
The Scholar Who Walks the Night,,,Kim Sung Yeol,Jo Yang Seon / Seo Jin
Radio Romance,,,Song Geu Rim,Ji Soo Ho
Mary Stayed Out All Night,,,Kang Moo Gyul,Wi Mae Ri
The Greatest Love,,,Dok Go Jin,Gu Ae Jung
Missing You,,Han Jung Woo,Lee Soo Yeon / Zoey Lou,
Birth of a Beauty,,,Han Tae Hee,Sa Ra / Sa Geum Ran
The Bridal Mask,,,Lee Kang To / Sato Hiroshi / Lee Young,Oh Mok Dan / Boon Yi / Esther
My Princess,,,Park Hae Young,Lee Seol
Lawless Lawyer,,,Bong Sang Pil,Ha Jae Yi
Beautiful Gong Shim,,,Ahn Dan Tae / Suk Joon Pyo,Gong Shim
Go Back Couple,,,Ma Jin Joo,Choi Ban Do
Record of Youth,Sa Hye Joon,Ahn Jung Ha,,
"Noble, My Love",,,Lee Kang Hoon,Cha Yoon Seo
Arang and the Magistrate,,,Kim Eun Oh,Ah Rang / Lee Seo Rim
My Holo Love,,Han So Yeon,Go Nan Do | Holo,
High Society,Jang Yoon Ha,,,Choi Joon Ki
Cunning Single Lady,,,Na Ae Ra,Cha Jung Woo
When the Weather Is Fine,,,"Mok Hae Won / ""Irene""",Im Eun Sub / Kim Jin Ho
My Strange Hero,,,Kang Bok Soo,Son Soo Jung
Lucky Romance,,,Shim Bo Nui,Je Su Ho
Bride of the Century,,,Na Doo Rim | Jang Yi Kyung | Soon Bok [Young] | Boon Ee,Choi Kang Joo
Monstar,,,Yoon Sul Chan,Min Se Yi
Run On,Ki Seon Gyeom,Oh Mi Joo,,
Witch's Romance,,,Ban Ji Yun,Yoon Dong Ha
"Please Come Back, Mister",,,"Lee Hae Joon / ""Kim Yeong Soo""","Han Hong Nan / ""Han Gi Tak"""
Encounter,Cha Soo Hyun,Kim Jin Hyuk,,
Miss Hammurabi,,,Park Cha Oh Reum,Im Ba Reun
High School King of Savvy,,,Lee Min Suk / Lee Hyung Suk,Jung Soo Young
One Spring Night,Yoo Ji Ho,,,Lee Jung In
The World of the Married,Ji Sun Woo,,,Lee Tae Oh
Rookie Historian Goo Hae Ryung,,,Goo Hae Ryung / Hui Yeon,Prince Yi Rim / Maehwa / Prince Dowon
Mr. Queen,Kim So Yong / Jang Bong Hwan,King Cheoljong,,
Mask,,Choi Min Woo,Byun Ji Suk / Seo Eun Ha,
Man to Man,,Cha Do Ha [Woon Gwang's manager],"Kim Seol Woo / ""K""",
Madame Antoine,,,Choi Soo Hyun,Go Hye Rim
Surplus Princess,,,Kim Ha Ni / Ai Reen,Lee Hyun Myung
Terius Behind Me,Kim Bon / Terius [NIS black agent] / Wang Jung Nam,,,Go Ae Rin / Alice
Cruel City,,Yoon Soo Min,"""Doctor's Son"" / Jung Shi Hyun",
The Lover,Oh Do Shi {Room 609},Ryu Du Ri {Room 609},,
A Beautiful Mind,,,Lee Young Oh,Gye Jin Sung
My Father is Strange,,,Byun Han Soo / Lee Yoon Suk,Na Yeong Shil
18 Again,Jung Da Jung,Hong Dae Young [37 years old],,
Backstreet Rookie,Choi Dae Hyun,Jung Saet Byul,,
Queen of the Ring,,,Mo Nan Hee,Park Se Gun
Yong Pal,,Han Yeo Jin,Yong Pal / Kim Tae Hyun,
My Lovely Girl,,,Lee Hyun Wook,Yoon Se Na
Where Stars Land,Han Yeo Reum,Lee Soo Yeon,,
"Hi Bye, Mama!",,,Cha Yu Ri,Jo Gang Hwa
Bel Ami,,,Dok Go Ma Te,Kim Bo Tong
Arthdal Chronicles Part 1: The Children of Prophecy,,,Eun Seom,Tan Ya
About Time,,,Choi Michaela,Lee Do Ha
Go Ho's Starry Night,Go Ho,,,Kang Tae Ho / Park Kwang Soo
My First First Love 2,Yoon Tae Oh,Han Song Yi,,
Scent of a Woman,,,Lee Yeon Jae,Kang Ji Wook
Angel Eyes,Yoon Soo Wan,,,Dylan Park / Park Dong Joo
The Hymn of Death,Kim Woo Jin,,,Yun Shim Deok
Who Are You,,,Detective Yang Shi On,Detective Cha Gun Woo
The Princess's Man,,,Kim Seung Yoo,Lee Se Ryung
Temperature of Love,,,Lee Hyun Soo,On Jung Sun
Love with Flaws,,Lee Kang Woo,Joo Seo Yeon,
High-end Crush,,,Choi Se Hoon,Yoo Yi Ryeong
Doctor John,,,Cha Yo Han,Kang Shi Young
Missing 9,Seo Jun Oh,Ra Bong Hee,,
Moment at Eighteen,,,Choi Jun Woo,Yu Soo Bin
Prosecutor Princess,,Seo In Woo,Ma Hye Ri,
Devilish Joy,,,Gong Ma Sung,Joo Ki Beum
K-POP - The Ultimate Audition,,,Ji Seung Yun,Kang Woo Hyeon
Do Do Sol Sol La La Sol,Goo Ra Ra,Sun Woo Joon,,
"Meow, the Secret Boy",,,Sergei / Hong Jo,Kim Sol Ah
The Emperor: Owner of the Mask,,Han Ga Eun,Crown Prince Lee Sun,
Twenty Again,,,Ha No Ra,Cha Hyeon Seok
Marriage Contract,Han Ji Hoon,,,Kang Hye Soo
Dream Knight,,[Himself],Joo In Hyung,
One More Happy Ending,"Han Mi Mo [former ""Angels"" member]",,,Song Soo Hyeok
Strongest Deliveryman,,,Choi Kang Soo,Lee Dan Ah
The Time We Were Not in Love,Oh Ha Na,,,Steward Choi Won
Ho Goo's Love,Do Do Hee,,,Kang Ho Goo
Mirror of the Witch,Heo Jun,,,"Seo Ri  / ""Princess Yun Hee"""
D-Day,,,Dr. Lee Hae Sung,Dr. Jung Ddol Mi
Oh! My Lady,,,Sung Min Woo,Yoon Gae Hwa
Find Me in Your Memory,Lee Jung Hoon,,,"Yeo Ha Jin / ""Ha Na"""
A Piece of Your Mind,,Han Seo Woo,Moon Ha Won,
Rich Man,,Kim Bo Ra ,Lee Yoo Chan,
Hotel King,,,Cha Jae Wan / Hyun Woo,Ah Mo Nae
Revolutionary Love,,,Byeon Hyeok,Baek Jun
Prime Minister and I,Nam Da Jung,,,Kwon Yul
Live Up to Your Name,,,Heo Im / Heo Ga Im / Heo Bong Tak,Choi Yeon Kyung
Let's Eat,Lee Soo Kyung,Goo Dae Yeong,,
Cheongdamdong Alice,Han Se Kyung,,,Cha Seung Jo
My Only Love Song,,,Song Soo Jung,On Dal
Warm and Cozy,,,Lee Jung Joo,Baek Geon Woo
I Need Romance 3,,,Shin Joo Yeon,Joo Wan / Allen Joo
"Me too, Flower!",,Seo Jae Hee,Cha Bong Sun,
Ma Boy,,,Jang Geu Rim,Irene/Hyun Woo
Lovestruck in the City,Park Jae Won,Lee Eun Oh / Yoon Sun Ah,,
The Last Empress,,Lee Hyuk,Oh Sunny,
Full House Take 2,,,Lee Tae Ik,Jang Man Ok / Jang Michelle
Queen for Seven Days,,,Shin Chae Kyung / Queen Dangyeong,Yi Yeok / Nak Chun / Prince Jinseongdaegun / King Jungjong
Pasta,Choi Hyun Wook,,,Seo Yoo Kyung
My Absolute Boyfriend,,,Young Goo / Zero Nine,Uhm Da Da
Cinderella's Sister,,,Song Eun Ju,Hong Ki Hoon
Marry Him If You Dare,,Kim Shin,Na Mi Rae,
Chocolate,,,Lee Kang,Moon Cha Young
Live,,,Yeom Sang Soo,Han Jung Oh
A Poem a Day,,,Woo Bo Young,Ye Je Wook
Witch's Love,,Ma Sung Tae,Kang Cho Hong,
Familiar Wife,,Seo Woo Jin,Cha Joo Hyuk,
Naeil's Cantabile,,,Cha Yoo Jin,Seol Nae Il
Jugglers,,,Nam Chi Won,Jwa Yoon Yi
Click Your Heart,,,Kwon Mi Na,Baek Ju Ho
Heart to Heart,,,Cha Hong Do,Ko Yi Seok
The Crowned Clown,,,Clown Ha Sun | King Lee Hun,Queen Yoo So Woon
Drinking Solo,,,Professor Jin Jung Seok,Professora Park Ha Na
Rebel: Thief Who Stole the People,Hong Gil Dong,,,Song Ga Ryung
You Are The Best!,Lee Soon Shin,Shin Joon Ho,,
Dinner Mate,Kim Hae Kyung,Woo Do Hee,,
Trot Lovers,,,Choi Chun Hee,Jang Joon Hyun
"I  Do, I Do",,,Hwang Ji An,Park Tae Kang
Because It's The First Time,,Han Song Yi,Yoon Tae Oh,
Modern Farmer,,Kang Yoon Hee,Lee Min Ki,
Discovery of Romance,Han Yeo Reum,,,Kang Tae Ha
Star of the Universe,,,"Woo Joo ""Universe""","Kim Ha Na / Byul ""Star"""
Sweet Revenge,,,Ho Goo Hee ,Shin Ji Hoon 
My Secret Hotel,,,Goo Hae Young,Nam Sang Hyo
One More Time,,Moon Da In,Yoo Tan,
Do You Like Brahms?,Chae Song Ah,Park Joon Young,,
Wild Romance,,Yoo Eun Jae, Park Moo Yeol,
Catch the Ghost,,,Yoo Ryung | Yoo Jin, Go Ji Suk
Wednesday 3:30 PM,,,Yun Jae Won,Seon Eun Woo
The Package,,,San Ma Roo,Yoon So So
Secret Love Affair,,,Lee Sun Jae,Oh Hye Won
Twenty Years Old,,Kim Hye Rim,Lee Ki Kwang,
The Third Charm,,Lee Yeong Jae,On Joon Yeong,
Was It Love?,,,Noh Ae Jung,Oh Dae Oh
The Undateables,,,Kang Hoon Nam,Yoo Jung Eum
Somehow 18,,,Oh Kyung Hwi,Han Na Bi
Dating Agency: Cyrano,,,Gong Min Young,Seo Byung Hoon
More Than Friends,Lee Soo,Kyung Woo Yeon,,
Arthdal Chronicles Part 3: The Prelude To All Legends,Eun Seom | Sa Ya,Tan Ya,,
Myung Wol the Spy,,Kang Woo,Han Myung Wol,
The King of Dramas,,,Anthony Kim,Writer Lee Go Eun
Pride and Prejudice,,,Goo Dong Chi,Han Yeol Moo
My Love Eun Dong,,,Ji Eun Ho / Park Hyun Soo,Seo Jung Eun / Ji Eun Dong
Forest,,,Kang San Hyuk,Jung Young Jae
Private Lives,Cha Joo Eun,Lee Jung Hwan,,
Perfume,,,Seo Yi Do,Min Ye Rin / Min Jae Hee
Nail Shop Paris,,,"""Bunny"" / Hong Yeo Joo","""Alex"" / Kim Ji Hun"
7th Grade Civil Servant,,,Han Gil Ro / Han Pil Hoon,Kim Seo Won / Kim Kyung Ja
Dong Yi,,King Suk Jong,Dong Yi / Choi Suk Bin,
What Happens to My Family?,,,Cha Soon Bong,Cha Kang Shim
Hyena,Yoon Hee Jae,"Jung Geum Ja / ""Kim Hee Sun"" / Jung Eun Young",,
The King in Love,,,Wang Won,Eun San
A Love So Beautiful,Cha Heon,Shin Sol Yi,,
I Picked Up a Star on the Road,Kang Joon Hyuk,,,Lee Yeon Seo
When A Man's in Love,,,Han Tae Sang,Seo Mi Do
Baby-faced Beauty,Lee So Young,,,Choi Jin Wook
Black Knight: The Man Who Guards Me,,,Moon Soo Ho / Lee Myung So,Jung Hae Ra / Boon Yi
Dramaworld,,,Joon Park,Claire Duncan
I Need Romance,,Kim Sung Soo,Sun Woo In Young,
Padam Padam,,,Yang Kang Chil,Jung Ji Nah
Time Slip Dr. Jin,,Yoo Mi Na [in 2012] / Hong Young Rae [at Joseon Dynasty Period],Lee Ha Eung,
Gunman In Joseon,,,Park Yoon Kang,Jung Soo In
Flower Crew: Joseon Marriage Agency,,,Ma Hoon,Gae Ddong / Yoon Su Yeon
Money Flower,,,Kang Pil Joo / Jang Eun Chun / Jo In Ho,Na Mo Hyun
Let's Eat 2,,Baek Soo Ji,Goo Dae Yeong,
I Need Romance 2,,,Joo Yeol Mae,Yoon Seok Hyun
Your Honor,,,Han Kang Ho / Han Soo Ho,Song So Eun
Radiant Office,,,Eun Ho Won,Seo Woo Jin
Born Again,Chun Jong Bum | Gong Ji Chul [1980s],Jung Sa Bin | Jung Ha Eun [1980s],,
When My Love Blooms,,Yoon Ji Soo [Present],Han Jae Hyun [Present],
My Unfortunate Boyfriend,,Yoo Ji Na,Yoon Tae Woon,
Bad Guy,,,Shim Gun Wook,Hong Tae Ra
Into the Ring,Goo Se Ra,Seo Gong Myung,,
Stars Falling From the Sky,,,Jin Pal Kang,Won Kang Ha
Live On,Baek Ho Rang,Go Eun Taek,,
Choco Bank,,,Kim Eun Haeng,Ha Cho Co
Oh My Baby,Jang Ha Ri,,,Han Yi Sang
Inspiring Generation,,,Shin Jung Tae,Ok Ryeon
Misty,,,Go Hye Ran,Kang Tae Wook
My Fellow Citizens!,,Kim Mi Young,Yang Jung Kook,
The Ghost Detective,,,Lee Da Il,Jung Yeo Wool
Can We Get Married?,,Jung Hoon,Hye Yoon,
Jang Ok Jung,King Suk Jong,Jang Ok Jung ,,
Chuno,,,Lee Dae Gil,Un Nyun / Kim Hye Won
My Golden Life,,,Choi Do Kyung,Seo Ji Ahn
Ugly Alert,,,Gong Jun Soo,Na Do Hee
When Time Stopped,Joon Woo,Kim Sun Ah,,
Your House Helper,,,Kim Ji Woon, Im Da Young
Coffee House,,,Lee Jin Soo,Kang Seung Yeon
My Beautiful Bride,,,Kim Do Hyeong,Cha Yoon Mi
Five Enough,,,Lee Sang Tae,Ahn Mi Jung
On The Way To The Airport,,,Choi Soo Ah,Seo Do Woo
Feel Good To Die,,,Lee Roo Da,Baek Jin Sang
Lie After Lie,Ji Eun Soo,Kang Ji Min,,
Best Wedding,,,Cha Gi Yeong,Jo Eun Cha
Kiss Goblin,Ban Sook [Goblin] / Kim Keon Woo [Human],Oh Yeon Ah,,
Best Mistake,,,Ji Hyun Ho,Kim Yeon Doo
Once Again,,Jang Ok Boon,Song Young Dal,
Love Revolution,Gong Joo Young,Wang Ja Rim,,
Soul Mechanic,,,Lee Shi Joon,Han Woo Joo
Possessed,Kang Pil Sung,,,Hong Seo Jung
When I Was the Most Beautiful,Oh Ye Ji,Seo Hwan,,
Please Don't Date Him,Seo Ji Sung,Jung Kook Hee,,
Haechi,,,Yi Geum / Prince Yeo Ning,Chun Yeo Ji
Twenty-Twenty,Chae Da Hee,Lee Hyun Jin,,
Wild Chives and Soy Bean Soup: 12 Years Reunion,,,"Jang Dal Rae ""Jang Kook""",Yoo Joon Soo
Queen of Ambition,Joo Da Hae,,,Ha Ryu / Cha Jae Woong
The Incarnation of Money,,,Lee Cha Don / Lee Kang Seok,Bok Jae In
"Cheat On Me, If You Can",Kang Yeo Joo,Han Woo Sung,,
Love Affairs in the Afternoon,Yoon Jung Woo,,,Son Ji Eun
New Tales of Gisaeng,,,Dan Sa Ran,Ah Da Mo
All About My Romance,Kim Soo Yeong,,,Noh Min Yeong
My Heart Twinkle Twinkle,,,Lee Soon Jin,Cheon Woon Tak
Temptation,,,Yoo Se Young,Cha Seok Hoon
Sweet Munchies,Park Jin Sung,,,Kim Ah Jin
Valid Love,,,Jang Hee Tae,Kim Il Ri
Queen: Love And War,,Lee Gyung,Gang Eun Bo | Gang Eun Gi,
